Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,1.928e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
5.2000e-08,-0.0095625,3.44219
5.6000e-08,-0.00975,3.44828
6.0000e-08,-0.00846875,3.43953
6.4000e-08,-0.00915625,3.44609
6.8000e-08,-0.007875,3.43828
7.2000e-08,-0.00621875,3.43969
7.6000e-08,-0.0033125,3.43844
8.0000e-08,-0.0028125,3.43578
8.4000e-08,-0.004125,3.43344
8.8000e-08,-0.00890625,3.43359
9.2000e-08,-0.0102813,3.43328
9.6000e-08,-0.005875,3.43406
1.0000e-07,-0.00334375,3.43063
1.0400e-07,-0.00296875,3.42656
1.0800e-07,-0.00371875,3.42797
1.1200e-07,-0.00659375,3.42344
1.1600e-07,-0.00934375,3.42844
1.2000e-07,-0.0103125,3.42219
1.2400e-07,-0.009875,3.42609
1.2800e-07,-0.009,3.43063
1.3200e-07,-0.0083125,3.42266
1.3600e-07,-0.0076875,3.42563
1.4000e-07,-0.007375,3.42609
1.4400e-07,-0.00890625,3.42219
1.4800e-07,-0.00984375,3.41953
1.5200e-07,-0.010875,3.42594
1.5600e-07,-0.0115625,3.4225
1.6000e-07,-0.0116875,3.42094
1.6400e-07,-0.0102813,3.42219
1.6800e-07,-0.009375,3.42188
1.7200e-07,-0.0073125,3.42031
1.7600e-07,-0.00884375,3.42094
1.8000e-07,-0.0103438,3.41984
1.8400e-07,-0.0116875,3.42047
1.8800e-07,-0.01175,3.41953
1.9200e-07,-0.011625,3.42031
1.9600e-07,-0.00928125,3.42016
2.0000e-07,-0.00865625,3.41719
2.0400e-07,-0.008375,3.42078
2.0800e-07,-0.00896875,3.42047
2.1200e-07,-0.0103125,3.41953
2.1600e-07,-0.011375,3.41969
2.2000e-07,-0.01175,3.41812
2.2400e-07,-0.0113125,3.41844
2.2800e-07,-0.0096875,3.41672
2.3200e-07,-0.00853125,3.41828
2.3600e-07,-0.00790625,3.41828
2.4000e-07,-0.00859375,3.42047
2.4400e-07,-0.0100938,3.41906
2.4800e-07,-0.0113437,3.41766
2.5200e-07,-0.01075,3.41891
2.5600e-07,-0.0095,3.41828
2.6000e-07,-0.0088125,3.41781
2.6400e-07,-0.006875,3.41625
2.6800e-07,-0.0071875,3.41609
2.7200e-07,-0.00884375,3.41797
2.7600e-07,-0.0101563,3.41688
2.8000e-07,-0.00884375,3.41953
2.8400e-07,-0.0107188,3.41531
2.8800e-07,-0.00915625,3.41984
2.9200e-07,-0.00834375,3.41922
2.9600e-07,-0.007,3.4175
3.0000e-07,-0.00653125,3.41844
3.0400e-07,-0.008125,3.41469
3.0800e-07,-0.0093125,3.41922
3.1200e-07,-0.00965625,3.41531
3.1600e-07,-0.0099375,3.42125
3.2000e-07,-0.00928125,3.41688
3.2400e-07,-0.00784375,3.41703
3.2800e-07,-0.0075,3.41828
3.3200e-07,-0.00790625,3.41703
3.3600e-07,-0.00825,3.41953
3.4000e-07,-0.0096875,3.41734
3.4400e-07,-0.0103125,3.41922
3.4800e-07,-0.010125,3.41891
3.5200e-07,-0.008125,3.41844
3.5600e-07,-0.0083125,3.41516
3.6000e-07,-0.007875,3.41625
3.6400e-07,-0.008125,3.4175
3.6800e-07,-0.0094375,3.41969
3.7200e-07,-0.0095625,3.41828
3.7600e-07,-0.0106563,3.41859
3.8000e-07,-0.0101563,3.41859
3.8400e-07,-0.0085,3.4175
3.8800e-07,-0.00821875,3.4175
3.9200e-07,-0.00746875,3.41531
3.9600e-07,-0.0086875,3.41734
4.0000e-07,-0.0093125,3.42
4.0400e-07,-0.0096875,3.41719
4.0800e-07,-0.0088125,3.41875
4.1200e-07,-0.0107188,3.41672
4.1600e-07,-0.0094375,3.41906
4.2000e-07,-0.0086875,3.41969
4.2400e-07,-0.008625,3.42125
4.2800e-07,-0.00746875,3.41875
4.3200e-07,-0.00903125,3.41844
4.3600e-07,-0.009375,3.41938
