Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,4.84e-05,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
5.5000e-07,-0.00323438,3.43922
5.6000e-07,-0.00320313,3.43578
5.7000e-07,-0.00341406,3.43641
5.8000e-07,-0.00327344,3.44422
5.9000e-07,-0.00378906,3.43344
6.0000e-07,-0.00352344,3.43781
6.1000e-07,-0.00352344,3.43656
6.2000e-07,-0.00366406,3.43531
6.3000e-07,-0.00342969,3.44469
6.4000e-07,-0.00358594,3.43906
6.5000e-07,-0.00348438,3.44234
6.6000e-07,-0.00335156,3.43922
6.7000e-07,-0.00335937,3.44125
6.8000e-07,-0.00351563,3.44234
6.9000e-07,-0.00353125,3.44125
7.0000e-07,-0.00345313,3.44172
7.1000e-07,-0.00354688,3.43969
7.2000e-07,-0.00315625,3.44031
7.3000e-07,-0.00341406,3.43922
7.4000e-07,-0.00339844,3.43781
7.5000e-07,-0.00333594,3.44109
7.6000e-07,-0.00319531,3.44844
7.7000e-07,-0.00353906,3.44281
7.8000e-07,-0.00366406,3.44344
7.9000e-07,-0.003625,3.44234
8.0000e-07,-0.00347656,3.44469
8.1000e-07,-0.00350781,3.44391
8.2000e-07,-0.00347656,3.44437
8.3000e-07,-0.00345313,3.44703
8.4000e-07,-0.00360938,3.44531
8.5000e-07,-0.00333594,3.44562
8.6000e-07,-0.00342188,3.44641
8.7000e-07,-0.00367188,3.44375
8.8000e-07,-0.0035625,3.44453
8.9000e-07,-0.00338281,3.44688
9.0000e-07,-0.00327344,3.45016
9.1000e-07,-0.00359375,3.44219
9.2000e-07,-0.00335156,3.44297
9.3000e-07,-0.00314844,3.44344
9.4000e-07,-0.00313281,3.44859
9.5000e-07,-0.00310156,3.45125
9.6000e-07,-0.00339844,3.44766
9.7000e-07,-0.00310156,3.44688
9.8000e-07,-0.00317969,3.44797
9.9000e-07,-0.00325,3.44953
1.0000e-06,-0.00317969,3.44781
1.0100e-06,-0.00335937,3.44813
1.0200e-06,-0.003375,3.44688
1.0300e-06,-0.00350781,3.44578
1.0400e-06,-0.00321875,3.45094
1.0500e-06,-0.00355469,3.44547
1.0600e-06,-0.00332812,3.44937
1.0700e-06,-0.00347656,3.44984
1.0800e-06,-0.00371875,3.45547
1.0900e-06,-0.00357813,3.44891
1.1000e-06,-0.00261719,3.44859
1.1100e-06,-0.00325,3.44984
1.1200e-06,-0.00701563,3.44984
1.1300e-06,-0.00483594,3.45328
1.1400e-06,-0.00235937,3.45375
1.1500e-06,-0.003125,3.45281
1.1600e-06,-0.00285156,3.45297
1.1700e-06,-0.00329687,3.45312
1.1800e-06,-0.00365625,3.44937
1.1900e-06,-0.00313281,3.44937
1.2000e-06,-0.00310938,3.45078
1.2100e-06,-0.00345313,3.4525
1.2200e-06,-0.00328125,3.45344
1.2300e-06,-0.00340625,3.44562
1.2400e-06,-0.00325781,3.45219
1.2500e-06,-0.00316406,3.45328
1.2600e-06,-0.00326562,3.45281
1.2700e-06,-0.0031875,3.45453
1.2800e-06,-0.00336719,3.45031
1.2900e-06,-0.00347656,3.45297
1.3000e-06,-0.00344531,3.45344
1.3100e-06,-0.00326562,3.45688
1.3200e-06,-0.00342969,3.45531
1.3300e-06,-0.00354688,3.45016
1.3400e-06,-0.00335156,3.45406
1.3500e-06,-0.00369531,3.45063
1.3600e-06,-0.00336719,3.45547
1.3700e-06,-0.0035,3.45125
1.3800e-06,-0.00342188,3.45594
1.3900e-06,-0.00339844,3.45391
1.4000e-06,-0.00314063,3.45672
1.4100e-06,-0.0035,3.45078
1.4200e-06,-0.00328906,3.45484
1.4300e-06,-0.00327344,3.45234
1.4400e-06,-0.003375,3.4525
1.4500e-06,-0.00314063,3.45797
1.4600e-06,-0.00317969,3.45719
1.4700e-06,-0.00313281,3.45656
1.4800e-06,-0.00334375,3.45688
1.4900e-06,-0.00314063,3.45672
1.5000e-06,-0.00344531,3.455
1.5100e-06,-0.00332031,3.45469
1.5200e-06,-0.00335156,3.45641
1.5300e-06,-0.00330469,3.45594
1.5400e-06,-0.00325781,3.45719
1.5500e-06,-0.00352344,3.45094
1.5600e-06,-0.00342188,3.45609
1.5700e-06,-0.00328906,3.45656
1.5800e-06,-0.00330469,3.45875
1.5900e-06,-0.00320313,3.45797
1.6000e-06,-0.00347656,3.45437
1.6100e-06,-0.00339844,3.46109
1.6200e-06,-0.00340625,3.45719
1.6300e-06,-0.00327344,3.45938
1.6400e-06,-0.00354688,3.45875
1.6500e-06,-0.0035625,3.45469
1.6600e-06,-0.00344531,3.45672
1.6700e-06,-0.00369531,3.45641
1.6800e-06,-0.00325781,3.45984
1.6900e-06,-0.00352344,3.45859
1.7000e-06,-0.00347656,3.45641
1.7100e-06,-0.00341406,3.45891
1.7200e-06,-0.00316406,3.4575
1.7300e-06,-0.00348438,3.45625
1.7400e-06,-0.00346094,3.45656
1.7500e-06,-0.00341406,3.45797
1.7600e-06,-0.0035625,3.45875
1.7700e-06,-0.00342188,3.45797
1.7800e-06,-0.00339844,3.45969
1.7900e-06,-0.00335937,3.45828
1.8000e-06,-0.00338281,3.45688
1.8100e-06,-0.0033125,3.45984
1.8200e-06,-0.00346094,3.45938
1.8300e-06,-0.00345313,3.45922
1.8400e-06,-0.0036875,3.45797
1.8500e-06,-0.00338281,3.45797
1.8600e-06,-0.00329687,3.45969
1.8700e-06,-0.00375,3.46016
1.8800e-06,-0.00332812,3.45781
1.8900e-06,-0.00332812,3.46125
1.9000e-06,-0.0033125,3.46109
1.9100e-06,-0.00316406,3.45906
1.9200e-06,-0.0034375,3.46266
1.9300e-06,-0.00336719,3.46281
1.9400e-06,-0.00323438,3.46188
1.9500e-06,-0.00316406,3.46047
1.9600e-06,-0.00339062,3.45875
1.9700e-06,-0.00353125,3.46047
1.9800e-06,-0.003375,3.45953
1.9900e-06,-0.00340625,3.46078
2.0000e-06,-0.00328125,3.45922
2.0100e-06,-0.00342969,3.46078
2.0200e-06,-0.00353906,3.46078
2.0300e-06,-0.00353125,3.46031
2.0400e-06,-0.00316406,3.45984
2.0500e-06,-0.00357031,3.46266
2.0600e-06,-0.00340625,3.46109
2.0700e-06,-0.00336719,3.46109
2.0800e-06,-0.00354688,3.45953
2.0900e-06,-0.00321094,3.45953
2.1000e-06,-0.0035,3.46047
2.1100e-06,-0.00335156,3.46109
2.1200e-06,-0.00340625,3.46359
2.1300e-06,-0.00327344,3.46
2.1400e-06,-0.00348438,3.46047
2.1500e-06,-0.00357031,3.46172
2.1600e-06,-0.00347656,3.46141
2.1700e-06,-0.00336719,3.46078
2.1800e-06,-0.00330469,3.46312
2.1900e-06,-0.00364844,3.46203
2.2000e-06,-0.00339844,3.46063
2.2100e-06,-0.00334375,3.46
2.2200e-06,-0.00342188,3.46063
2.2300e-06,-0.0031875,3.46312
2.2400e-06,-0.00348438,3.46234
2.2500e-06,-0.00340625,3.46234
2.2600e-06,-0.00351563,3.46094
2.2700e-06,-0.00326562,3.46344
2.2800e-06,-0.0035625,3.46031
2.2900e-06,-0.00344531,3.46
2.3000e-06,-0.00338281,3.46094
2.3100e-06,-0.00367969,3.46
2.3200e-06,-0.00328906,3.46047
2.3300e-06,-0.00360938,3.46156
2.3400e-06,-0.00358594,3.4625
2.3500e-06,-0.00346094,3.45984
2.3600e-06,-0.00319531,3.46094
2.3700e-06,-0.00361719,3.46234
2.3800e-06,-0.00353125,3.46141
2.3900e-06,-0.00357813,3.46078
2.4000e-06,-0.00350781,3.46047
2.4100e-06,-0.00341406,3.46281
2.4200e-06,-0.00345313,3.46063
2.4300e-06,-0.00346875,3.46031
2.4400e-06,-0.00333594,3.46391
2.4500e-06,-0.00335937,3.46172
2.4600e-06,-0.00341406,3.46312
2.4700e-06,-0.00365625,3.46531
2.4800e-06,-0.00344531,3.46063
2.4900e-06,-0.00334375,3.46219
2.5000e-06,-0.00333594,3.46406
2.5100e-06,-0.00379687,3.46281
2.5200e-06,-0.00342188,3.46297
2.5300e-06,-0.00347656,3.46281
2.5400e-06,-0.00345313,3.46391
2.5500e-06,-0.00321094,3.46188
2.5600e-06,-0.00354688,3.46312
2.5700e-06,-0.003375,3.46391
2.5800e-06,-0.00348438,3.46094
2.5900e-06,-0.00324219,3.465
2.6000e-06,-0.00364844,3.46063
2.6100e-06,-0.00360938,3.46469
2.6200e-06,-0.00358594,3.46172
2.6300e-06,-0.00364063,3.46297
2.6400e-06,-0.00330469,3.46016
2.6500e-06,-0.00350781,3.46422
2.6600e-06,-0.00357813,3.46156
2.6700e-06,-0.00355469,3.46141
2.6800e-06,-0.00328125,3.465
2.6900e-06,-0.00357813,3.46297
2.7000e-06,-0.00344531,3.46359
2.7100e-06,-0.00348438,3.46266
2.7200e-06,-0.0035,3.46188
2.7300e-06,-0.00339844,3.46234
2.7400e-06,-0.00345313,3.46094
2.7500e-06,-0.00354688,3.46344
2.7600e-06,-0.003625,3.46594
2.7700e-06,-0.00332031,3.46141
2.7800e-06,-0.00349219,3.46328
2.7900e-06,-0.00367969,3.46219
2.8000e-06,-0.00352344,3.46094
2.8100e-06,-0.0035,3.46094
2.8200e-06,-0.0034375,3.46437
2.8300e-06,-0.00383594,3.46531
2.8400e-06,-0.00341406,3.4625
2.8500e-06,-0.00333594,3.465
2.8600e-06,-0.00351563,3.46359
2.8700e-06,-0.00328125,3.46188
2.8800e-06,-0.00352344,3.46219
2.8900e-06,-0.00332812,3.46547
2.9000e-06,-0.00342188,3.46172
2.9100e-06,-0.00325,3.46578
2.9200e-06,-0.00353906,3.46109
2.9300e-06,-0.00353906,3.465
2.9400e-06,-0.00363281,3.46203
2.9500e-06,-0.00361719,3.46312
2.9600e-06,-0.00326562,3.46063
2.9700e-06,-0.00357813,3.46641
2.9800e-06,-0.00378125,3.46281
2.9900e-06,-0.00354688,3.46594
3.0000e-06,-0.00320313,3.46469
3.0100e-06,-0.00351563,3.46391
3.0200e-06,-0.00354688,3.46312
3.0300e-06,-0.00359375,3.46344
3.0400e-06,-0.00346094,3.46094
3.0500e-06,-0.00349219,3.46516
3.0600e-06,-0.00357813,3.46375
3.0700e-06,-0.00347656,3.46469
3.0800e-06,-0.0035,3.46656
3.0900e-06,-0.00329687,3.46016
3.1000e-06,-0.00342969,3.46312
3.1100e-06,-0.00352344,3.46344
3.1200e-06,-0.00363281,3.46188
3.1300e-06,-0.00338281,3.46172
3.1400e-06,-0.0034375,3.46437
3.1500e-06,-0.00378906,3.46453
3.1600e-06,-0.00339062,3.46391
