Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,2.376e-05,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
1.4120e-05,-0.0083125,-0.0617187
1.4122e-05,-0.00790625,-0.0640625
1.4124e-05,-0.00928125,-0.0689062
1.4126e-05,-0.00928125,-0.0657813
1.4128e-05,-0.00946875,-0.0645312
1.4130e-05,-0.00840625,-0.0671875
1.4132e-05,-0.0075,-0.065625
1.4134e-05,-0.0095625,-0.06875
1.4136e-05,-0.0090625,-0.06625
1.4138e-05,-0.0095,-0.0659375
1.4140e-05,-0.009125,-0.0634375
1.4142e-05,-0.00853125,-0.06375
1.4144e-05,-0.00871875,-0.0678125
1.4146e-05,-0.00934375,-0.0629688
1.4148e-05,-0.00928125,-0.0620312
1.4150e-05,-0.00834375,-0.063125
1.4152e-05,-0.009375,-0.0642188
1.4154e-05,-0.0088125,-0.0682813
1.4156e-05,-0.00821875,-0.0660937
1.4158e-05,-0.0085,-0.0679687
1.4160e-05,-0.0081875,-0.0639063
1.4162e-05,-0.00884375,-0.0657813
1.4164e-05,-0.009125,-0.0657813
1.4166e-05,-0.00934375,-0.063125
1.4168e-05,-0.0078125,-0.0620312
1.4170e-05,-0.00825,-0.0678125
1.4172e-05,-0.008875,-0.065
1.4174e-05,-0.00903125,-0.06375
1.4176e-05,-0.008875,-0.0684375
1.4178e-05,-0.00896875,-0.0632813
1.4180e-05,-0.009375,-0.0632813
1.4182e-05,-0.0088125,-0.0642188
1.4184e-05,-0.00821875,-0.0660937
1.4186e-05,-0.00865625,-0.0657813
1.4188e-05,-0.0088125,-0.0689062
1.4190e-05,-0.00846875,-0.0651563
1.4192e-05,-0.00921875,-0.06625
1.4194e-05,-0.00878125,-0.0632813
1.4196e-05,-0.0073125,-0.0635937
1.4198e-05,-0.0099375,-0.066875
1.4200e-05,-0.00928125,-0.0671875
1.4202e-05,-0.008875,-0.0625
1.4204e-05,-0.0089375,-0.06375
1.4206e-05,-0.0085,-0.0670312
1.4208e-05,-0.009,-0.0671875
1.4210e-05,-0.0090625,-0.0614063
1.4212e-05,-0.00909375,-0.0642188
1.4214e-05,-0.0084375,-0.0629688
1.4216e-05,-0.00925,-0.0648438
1.4218e-05,-0.008625,-0.0682813
1.4220e-05,-0.007875,-0.0659375
1.4222e-05,-0.00853125,-0.0640625
1.4224e-05,-0.008625,-0.0625
1.4226e-05,-0.0098125,-0.0667188
1.4228e-05,-0.00934375,-0.0634375
1.4230e-05,-0.00946875,-0.0659375
1.4232e-05,-0.008125,-0.0621875
1.4234e-05,-0.0089375,-0.0659375
1.4236e-05,-0.00896875,-0.0692188
1.4238e-05,-0.00890625,-0.0639063
1.4240e-05,-0.008625,-0.0659375
1.4242e-05,-0.0086875,-0.0651563
1.4244e-05,-0.0093125,-0.0640625
1.4246e-05,-0.0093125,-0.0646875
1.4248e-05,-0.00821875,-0.0664062
1.4250e-05,-0.0086875,-0.0629688
1.4252e-05,-0.00953125,-0.0682813
1.4254e-05,-0.009125,-0.0679687
1.4256e-05,-0.00940625,-0.0659375
1.4258e-05,-0.00878125,-0.065
1.4260e-05,-0.0075625,-0.0657813
1.4262e-05,-0.0100625,-0.0709375
1.4264e-05,-0.00921875,-0.0673438
1.4266e-05,-0.00946875,-0.0648438
1.4268e-05,-0.0090625,-0.0635937
1.4270e-05,-0.0088125,-0.0617187
1.4272e-05,-0.0085,-0.0667188
1.4274e-05,-0.00928125,-0.0642188
1.4276e-05,-0.00859375,-0.0625
1.4278e-05,-0.00875,-0.0642188
1.4280e-05,-0.00934375,-0.0660937
1.4282e-05,-0.00878125,-0.0665625
1.4284e-05,-0.00840625,-0.065
1.4286e-05,-0.009125,-0.0667188
1.4288e-05,-0.00846875,-0.0648438
1.4290e-05,-0.0093125,-0.0675
1.4292e-05,-0.00915625,-0.06625
1.4294e-05,-0.00915625,-0.0645312
1.4296e-05,-0.00803125,-0.0629688
1.4298e-05,-0.0085,-0.0665625
1.4300e-05,-0.00934375,-0.0648438
1.4302e-05,-0.0090625,-0.0654687
1.4304e-05,-0.009,-0.0626562
1.4306e-05,-0.00796875,-0.0625
1.4308e-05,-0.009875,-0.0648438
1.4310e-05,-0.009375,-0.0654687
1.4312e-05,-0.00859375,-0.0629688
1.4314e-05,-0.0083125,-0.0610937
1.4316e-05,-0.00959375,-0.068125
1.4318e-05,-0.0090625,-0.0665625
1.4320e-05,-0.00925,-0.064375
