Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,2.768e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
8.6200e-06,-0.00475,3.45063
8.6240e-06,-0.004625,3.45375
8.6280e-06,-0.00482812,3.44906
8.6320e-06,-0.00503125,3.44813
8.6360e-06,-0.0048125,3.45016
8.6400e-06,-0.00457812,3.44984
8.6440e-06,-0.00485937,3.44906
8.6480e-06,-0.00501563,3.45078
8.6520e-06,-0.00471875,3.45078
8.6560e-06,-0.00453125,3.44891
8.6600e-06,-0.00509375,3.45453
8.6640e-06,-0.00514063,3.44953
8.6680e-06,-0.00475,3.4475
8.6720e-06,-0.0051875,3.44625
8.6760e-06,-0.00492188,3.44891
8.6800e-06,-0.004375,3.45281
8.6840e-06,-0.00515625,3.44328
8.6880e-06,-0.00460937,3.44953
8.6920e-06,-0.00495313,3.44766
8.6960e-06,-0.00453125,3.44797
8.7000e-06,-0.00475,3.45453
8.7040e-06,-0.00485937,3.44844
8.7080e-06,-0.00479687,3.45031
8.7120e-06,-0.00479687,3.44906
8.7160e-06,-0.00435938,3.45359
8.7200e-06,-0.0045625,3.45031
8.7240e-06,-0.0045625,3.44875
8.7280e-06,-0.00428125,3.44703
8.7320e-06,-0.00503125,3.445
8.7360e-06,-0.00526563,3.45141
8.7400e-06,-0.00473437,3.44547
8.7440e-06,-0.00489063,3.44672
8.7480e-06,-0.00476562,3.44937
8.7520e-06,-0.00442188,3.45328
8.7560e-06,-0.00482812,3.44859
8.7600e-06,-0.00484375,3.44469
8.7640e-06,-0.0046875,3.45094
8.7680e-06,-0.00489063,3.44859
8.7720e-06,-0.00479687,3.45031
8.7760e-06,-0.00501563,3.44859
8.7800e-06,-0.0049375,3.45063
8.7840e-06,-0.00426563,3.44984
8.7880e-06,-0.00503125,3.45266
8.7920e-06,-0.00484375,3.45078
8.7960e-06,-0.0045625,3.4475
8.8000e-06,-0.00478125,3.44734
8.8040e-06,-0.00485937,3.44984
8.8080e-06,-0.00415625,3.45375
8.8120e-06,-0.00526563,3.44391
8.8160e-06,-0.00465625,3.45
8.8200e-06,-0.00496875,3.44828
8.8240e-06,-0.0046875,3.44906
8.8280e-06,-0.00446875,3.4525
8.8320e-06,-0.00492188,3.44984
8.8360e-06,-0.004625,3.44891
8.8400e-06,-0.00507813,3.45297
8.8440e-06,-0.0048125,3.45359
8.8480e-06,-0.00473437,3.44906
8.8520e-06,-0.00451562,3.44906
8.8560e-06,-0.0043125,3.4475
8.8600e-06,-0.004875,3.44547
8.8640e-06,-0.00501563,3.45172
8.8680e-06,-0.00484375,3.44641
8.8720e-06,-0.00510938,3.44547
8.8760e-06,-0.00475,3.44797
8.8800e-06,-0.00398438,3.45281
8.8840e-06,-0.00489063,3.44766
8.8880e-06,-0.004625,3.44891
8.8920e-06,-0.00448438,3.44875
8.8960e-06,-0.0048125,3.44875
8.9000e-06,-0.0049375,3.45156
8.9040e-06,-0.00510938,3.45078
8.9080e-06,-0.004875,3.45063
8.9120e-06,-0.00440625,3.44922
8.9160e-06,-0.00515625,3.45328
8.9200e-06,-0.00501563,3.44906
8.9240e-06,-0.004625,3.44516
8.9280e-06,-0.00503125,3.44625
8.9320e-06,-0.00509375,3.44906
8.9360e-06,-0.00434375,3.45031
8.9400e-06,-0.00520313,3.44281
8.9440e-06,-0.00464062,3.45047
8.9480e-06,-0.0050625,3.44797
8.9520e-06,-0.00464062,3.44891
8.9560e-06,-0.0045,3.45156
8.9600e-06,-0.0046875,3.44844
8.9640e-06,-0.00476562,3.44562
8.9680e-06,-0.00490625,3.45219
8.9720e-06,-0.004625,3.45203
8.9760e-06,-0.00489063,3.44875
8.9800e-06,-0.00446875,3.44641
8.9840e-06,-0.00440625,3.44625
8.9880e-06,-0.00496875,3.44313
8.9920e-06,-0.00521875,3.45234
8.9960e-06,-0.00482812,3.44656
9.0000e-06,-0.005,3.44375
9.0040e-06,-0.00485937,3.44641
9.0080e-06,-0.00428125,3.45219
9.0120e-06,-0.00495313,3.44891
9.0160e-06,-0.00471875,3.44828
9.0200e-06,-0.00476562,3.44688
9.0240e-06,-0.0045,3.44875
9.0280e-06,-0.00490625,3.44906
9.0320e-06,-0.00509375,3.44969
9.0360e-06,-0.0049375,3.45094
9.0400e-06,-0.00448438,3.44641
9.0440e-06,-0.00504688,3.4525
9.0480e-06,-0.00484375,3.44859
9.0520e-06,-0.00457812,3.44594
9.0560e-06,-0.00514063,3.44344
9.0600e-06,-0.00489063,3.45047
9.0640e-06,-0.004375,3.45078
9.0680e-06,-0.00526563,3.44266
9.0720e-06,-0.0046875,3.4475
9.0760e-06,-0.00495313,3.44562
9.0800e-06,-0.00478125,3.44859
9.0840e-06,-0.00489063,3.45344
9.0880e-06,-0.00485937,3.44828
9.0920e-06,-0.00482812,3.45094
9.0960e-06,-0.00504688,3.44547
9.1000e-06,-0.00484375,3.45266
9.1040e-06,-0.00515625,3.44813
9.1080e-06,-0.00460937,3.44781
9.1120e-06,-0.00428125,3.44703
9.1160e-06,-0.00467187,3.44547
9.1200e-06,-0.00476562,3.45359
9.1240e-06,-0.0048125,3.44547
9.1280e-06,-0.00501563,3.44453
9.1320e-06,-0.0048125,3.44641
9.1360e-06,-0.0045,3.45266
9.1400e-06,-0.00496875,3.44625
9.1440e-06,-0.00460937,3.44547
9.1480e-06,-0.00498438,3.44937
9.1520e-06,-0.00465625,3.44766
9.1560e-06,-0.00496875,3.44969
9.1600e-06,-0.00514063,3.44672
9.1640e-06,-0.0048125,3.45047
9.1680e-06,-0.00446875,3.44625
9.1720e-06,-0.00510938,3.44891
9.1760e-06,-0.00503125,3.45063
9.1800e-06,-0.00459375,3.44625
9.1840e-06,-0.00489063,3.44797
9.1880e-06,-0.004625,3.45063
9.1920e-06,-0.00470312,3.45109
9.1960e-06,-0.00521875,3.44234
9.2000e-06,-0.00460937,3.44984
9.2040e-06,-0.00492188,3.44719
9.2080e-06,-0.00467187,3.45063
9.2120e-06,-0.00448438,3.45266
9.2160e-06,-0.00496875,3.44672
9.2200e-06,-0.00457812,3.45016
9.2240e-06,-0.00475,3.44453
9.2280e-06,-0.00435938,3.45344
9.2320e-06,-0.00501563,3.44734
9.2360e-06,-0.00467187,3.44937
9.2400e-06,-0.00453125,3.44609
9.2440e-06,-0.00479687,3.44406
9.2480e-06,-0.005125,3.45297
9.2520e-06,-0.005,3.44578
9.2560e-06,-0.00542188,3.44234
9.2600e-06,-0.00492188,3.44859
9.2640e-06,-0.00415625,3.45375
9.2680e-06,-0.00471875,3.44813
9.2720e-06,-0.00478125,3.44797
9.2760e-06,-0.005,3.44609
9.2800e-06,-0.0045625,3.44609
9.2840e-06,-0.00484375,3.44984
9.2880e-06,-0.00509375,3.44766
9.2920e-06,-0.00498438,3.45078
9.2960e-06,-0.00442188,3.44875
9.3000e-06,-0.005,3.44984
9.3040e-06,-0.004875,3.44719
9.3080e-06,-0.00453125,3.44484
9.3120e-06,-0.00503125,3.44391
9.3160e-06,-0.00498438,3.44969
9.3200e-06,-0.00446875,3.45016
9.3240e-06,-0.00526563,3.44281
9.3280e-06,-0.00470312,3.44953
9.3320e-06,-0.0049375,3.44875
9.3360e-06,-0.00471875,3.44734
9.3400e-06,-0.0045625,3.45094
9.3440e-06,-0.00496875,3.44813
9.3480e-06,-0.00460937,3.45141
9.3520e-06,-0.00503125,3.44453
9.3560e-06,-0.004375,3.45266
9.3600e-06,-0.00495313,3.44828
9.3640e-06,-0.00460937,3.44859
9.3680e-06,-0.00492188,3.44531
9.3720e-06,-0.00467187,3.44344
9.3760e-06,-0.0051875,3.4525
9.3800e-06,-0.00490625,3.44219
9.3840e-06,-0.005125,3.44328
9.3880e-06,-0.0050625,3.44688
9.3920e-06,-0.00423438,3.45109
9.3960e-06,-0.00476562,3.44625
9.4000e-06,-0.004625,3.44594
9.4040e-06,-0.00470312,3.44766
9.4080e-06,-0.00460937,3.44891
9.4120e-06,-0.00476562,3.44875
9.4160e-06,-0.00504688,3.44937
9.4200e-06,-0.0049375,3.44953
9.4240e-06,-0.00442188,3.44719
9.4280e-06,-0.00514063,3.45
9.4320e-06,-0.00498438,3.44609
9.4360e-06,-0.00467187,3.44375
9.4400e-06,-0.0049375,3.44656
9.4440e-06,-0.0049375,3.44859
9.4480e-06,-0.00451562,3.44813
9.4520e-06,-0.0050625,3.4425
9.4560e-06,-0.00473437,3.45094
9.4600e-06,-0.00490625,3.44703
9.4640e-06,-0.00476562,3.44813
9.4680e-06,-0.0043125,3.45312
9.4720e-06,-0.00467187,3.44781
9.4760e-06,-0.00460937,3.44844
9.4800e-06,-0.00495313,3.44625
9.4840e-06,-0.00465625,3.45281
9.4880e-06,-0.00510938,3.4475
9.4920e-06,-0.00459375,3.44797
9.4960e-06,-0.00478125,3.44688
9.5000e-06,-0.00478125,3.44281
9.5040e-06,-0.00446875,3.45141
9.5080e-06,-0.005,3.44328
9.5120e-06,-0.00542188,3.4425
9.5160e-06,-0.00470312,3.44547
9.5200e-06,-0.00409375,3.45203
9.5240e-06,-0.00448438,3.44578
9.5280e-06,-0.00473437,3.44625
9.5320e-06,-0.0045625,3.44484
9.5360e-06,-0.004625,3.44734
9.5400e-06,-0.00479687,3.44875
9.5440e-06,-0.00520313,3.44844
9.5480e-06,-0.00482812,3.45188
9.5520e-06,-0.00460937,3.44656
9.5560e-06,-0.005125,3.44891
9.5600e-06,-0.0049375,3.44937
9.5640e-06,-0.00467187,3.44703
9.5680e-06,-0.00507813,3.44422
9.5720e-06,-0.00478125,3.45
9.5760e-06,-0.00445313,3.45031
9.5800e-06,-0.00521875,3.44375
9.5840e-06,-0.00470312,3.44969
9.5880e-06,-0.00521875,3.44609
9.5920e-06,-0.00473437,3.44922
9.5960e-06,-0.00425,3.44984
9.6000e-06,-0.00504688,3.44469
9.6040e-06,-0.004625,3.45016
9.6080e-06,-0.005,3.44328
9.6120e-06,-0.0046875,3.45094
9.6160e-06,-0.005125,3.44547
9.6200e-06,-0.00445313,3.44641
9.6240e-06,-0.0045625,3.44437
9.6280e-06,-0.00470312,3.44172
9.6320e-06,-0.00470312,3.45141
9.6360e-06,-0.00490625,3.44672
9.6400e-06,-0.00515625,3.43844
9.6440e-06,-0.0048125,3.44578
9.6480e-06,-0.00426563,3.45141
9.6520e-06,-0.00484375,3.44797
9.6560e-06,-0.00470312,3.44609
9.6600e-06,-0.00503125,3.44234
9.6640e-06,-0.00492188,3.4475
9.6680e-06,-0.00454687,3.44891
9.6720e-06,-0.0051875,3.44641
9.6760e-06,-0.00496875,3.44719
9.6800e-06,-0.00448438,3.44672
9.6840e-06,-0.00489063,3.44844
9.6880e-06,-0.00482812,3.44562
9.6920e-06,-0.00467187,3.44672
9.6960e-06,-0.00457812,3.44375
9.7000e-06,-0.00501563,3.44844
9.7040e-06,-0.00470312,3.45016
9.7080e-06,-0.005125,3.44203
9.7120e-06,-0.0048125,3.45094
9.7160e-06,-0.00503125,3.4425
9.7200e-06,-0.00470312,3.4475
9.7240e-06,-0.00451562,3.44922
9.7280e-06,-0.00509375,3.44813
9.7320e-06,-0.00467187,3.44922
9.7360e-06,-0.00476562,3.44688
9.7400e-06,-0.00417188,3.44953
9.7440e-06,-0.00503125,3.44422
9.7480e-06,-0.004375,3.44703
9.7520e-06,-0.0045,3.44703
9.7560e-06,-0.0048125,3.44578
9.7600e-06,-0.0044375,3.45234
9.7640e-06,-0.00501563,3.44578
9.7680e-06,-0.0050625,3.44156
9.7720e-06,-0.00471875,3.44797
9.7760e-06,-0.00407813,3.45203
9.7800e-06,-0.00465625,3.44562
9.7840e-06,-0.00453125,3.44469
9.7880e-06,-0.00482812,3.44125
9.7920e-06,-0.00490625,3.44906
9.7960e-06,-0.0046875,3.44906
9.8000e-06,-0.00525,3.44656
9.8040e-06,-0.00496875,3.44547
9.8080e-06,-0.00451562,3.44813
9.8120e-06,-0.00479687,3.44719
9.8160e-06,-0.00501563,3.44688
9.8200e-06,-0.0045,3.44531
9.8240e-06,-0.00507813,3.44391
9.8280e-06,-0.00475,3.45
9.8320e-06,-0.00453125,3.44953
9.8360e-06,-0.00496875,3.44266
9.8400e-06,-0.00471875,3.44891
9.8440e-06,-0.00507813,3.44516
9.8480e-06,-0.00470312,3.44719
9.8520e-06,-0.00440625,3.44875
9.8560e-06,-0.00476562,3.44578
9.8600e-06,-0.00478125,3.44437
9.8640e-06,-0.00482812,3.44641
9.8680e-06,-0.00440625,3.45031
9.8720e-06,-0.00501563,3.44375
9.8760e-06,-0.004625,3.43906
9.8800e-06,-0.0048125,3.41172
9.8840e-06,-0.00492188,3.33203
9.8880e-06,-0.00464062,1.54844
9.8920e-06,-0.00501563,-0.165938
9.8960e-06,-0.00532813,0.0125
9.9000e-06,-0.00478125,-0.0678125
9.9040e-06,-0.004375,-0.0645312
9.9080e-06,-0.0045625,-0.0726563
9.9120e-06,-0.00457812,-0.070625
9.9160e-06,-0.00496875,-0.068125
9.9200e-06,-0.00473437,-0.0640625
9.9240e-06,-0.0046875,-0.0615625
9.9280e-06,-0.00510938,-0.0585938
9.9320e-06,-0.00484375,-0.0554688
9.9360e-06,-0.00454687,-0.0496875
9.9400e-06,-0.00514063,-0.0565625
9.9440e-06,-0.005,-0.0526563
9.9480e-06,-0.00459375,-0.04875
9.9520e-06,-0.00507813,-0.0545313
9.9560e-06,-0.00496875,-0.0529688
9.9600e-06,-0.00439063,-0.0448438
9.9640e-06,-0.00492188,-0.05
9.9680e-06,-0.00478125,-0.0482813
9.9720e-06,-0.00503125,-0.0492188
9.9760e-06,-0.00465625,-0.04625
9.9800e-06,-0.00476562,-0.0432813
9.9840e-06,-0.00514063,-0.0459375
9.9880e-06,-0.00471875,-0.045625
9.9920e-06,-0.005,-0.0473438
9.9960e-06,-0.00475,-0.040625
1.0000e-05,-0.00510938,-0.049375
1.0004e-05,-0.00476562,-0.043125
1.0008e-05,-0.00464062,-0.0409375
1.0012e-05,-0.00495313,-0.04125
1.0016e-05,-0.00489063,-0.0428125
1.0020e-05,-0.00496875,-0.0446875
1.0024e-05,-0.00521875,-0.0479687
1.0028e-05,-0.00479687,-0.0470312
1.0032e-05,-0.00403125,-0.0409375
1.0036e-05,-0.00482812,-0.0420312
1.0040e-05,-0.00470312,-0.0396875
1.0044e-05,-0.00492188,-0.0445312
1.0048e-05,-0.00484375,-0.0453125
1.0052e-05,-0.0045,-0.041875
1.0056e-05,-0.00504688,-0.0478125
1.0060e-05,-0.00484375,-0.04625
1.0064e-05,-0.00442188,-0.04125
1.0068e-05,-0.00539063,-0.0429688
1.0072e-05,-0.0048125,-0.044375
1.0076e-05,-0.00464062,-0.0420312
1.0080e-05,-0.00507813,-0.0439063
1.0084e-05,-0.00473437,-0.0410937
1.0088e-05,-0.00446875,-0.0379688
1.0092e-05,-0.00504688,-0.0465625
1.0096e-05,-0.00465625,-0.041875
1.0100e-05,-0.0050625,-0.0446875
1.0104e-05,-0.00473437,-0.041875
1.0108e-05,-0.00445313,-0.0379688
1.0112e-05,-0.00501563,-0.041875
1.0116e-05,-0.00467187,-0.0384375
1.0120e-05,-0.00479687,-0.0440625
1.0124e-05,-0.00426563,-0.0382812
1.0128e-05,-0.00485937,-0.045625
1.0132e-05,-0.00454687,-0.0392187
1.0136e-05,-0.0046875,-0.0401562
1.0140e-05,-0.0049375,-0.0417188
1.0144e-05,-0.00435938,-0.0390625
1.0148e-05,-0.00504688,-0.0404688
1.0152e-05,-0.00535938,-0.045625
1.0156e-05,-0.0048125,-0.0426562
1.0160e-05,-0.00428125,-0.0346875
1.0164e-05,-0.00448438,-0.0378125
1.0168e-05,-0.00475,-0.0375
1.0172e-05,-0.00484375,-0.0425
1.0176e-05,-0.00485937,-0.0435937
1.0180e-05,-0.0045,-0.0385937
1.0184e-05,-0.00496875,-0.0448438
1.0188e-05,-0.00471875,-0.0432813
1.0192e-05,-0.0044375,-0.036875
1.0196e-05,-0.00492188,-0.0414063
1.0200e-05,-0.00473437,-0.0420312
1.0204e-05,-0.0044375,-0.040625
1.0208e-05,-0.00504688,-0.0414063
1.0212e-05,-0.00478125,-0.0385937
1.0216e-05,-0.004375,-0.035625
1.0220e-05,-0.00490625,-0.0460937
1.0224e-05,-0.00490625,-0.0404688
1.0228e-05,-0.00475,-0.0454687
1.0232e-05,-0.00439063,-0.0414063
1.0236e-05,-0.00439063,-0.0384375
1.0240e-05,-0.004625,-0.04125
1.0244e-05,-0.00464062,-0.0403125
1.0248e-05,-0.00470312,-0.0421875
1.0252e-05,-0.00428125,-0.0378125
1.0256e-05,-0.00492188,-0.0457813
1.0260e-05,-0.00445313,-0.0378125
1.0264e-05,-0.00440625,-0.0407813
1.0268e-05,-0.00471875,-0.0409375
1.0272e-05,-0.00429688,-0.04
1.0276e-05,-0.00482812,-0.0420312
1.0280e-05,-0.00490625,-0.0453125
1.0284e-05,-0.0046875,-0.043125
1.0288e-05,-0.00390625,-0.0359375
1.0292e-05,-0.004375,-0.0376562
1.0296e-05,-0.00470312,-0.0398438
1.0300e-05,-0.00482812,-0.0434375
1.0304e-05,-0.004625,-0.044375
1.0308e-05,-0.004375,-0.038125
1.0312e-05,-0.00471875,-0.045625
1.0316e-05,-0.00465625,-0.0429688
1.0320e-05,-0.00423438,-0.039375
1.0324e-05,-0.00457812,-0.040625
1.0328e-05,-0.004625,-0.0453125
1.0332e-05,-0.00434375,-0.0410937
1.0336e-05,-0.00473437,-0.041875
