# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# microseconds,volts
6.68401860e+00,-3.49219000e-03
6.68601880e+00,-3.45313000e-03
6.68801900e+00,-3.44531000e-03
6.69001920e+00,-3.58594000e-03
6.69201940e+00,-3.56250000e-03
6.69401960e+00,-3.53125000e-03
6.69601980e+00,-3.53906000e-03
6.69802000e+00,-3.63281000e-03
6.70002020e+00,-3.80469000e-03
6.70202040e+00,-3.48438000e-03
6.70402060e+00,-3.86719000e-03
6.70602080e+00,-3.48438000e-03
6.70802100e+00,-3.50781000e-03
6.71002120e+00,-3.47656000e-03
6.71202140e+00,-3.45313000e-03
6.71402160e+00,-3.17188000e-03
6.71602180e+00,-3.42969000e-03
6.71802200e+00,-3.42969000e-03
6.72002220e+00,-3.20313000e-03
6.72202240e+00,-3.07031000e-03
6.72402260e+00,-3.08594000e-03
6.72602280e+00,-3.01563000e-03
6.72802300e+00,-2.89844000e-03
6.73002320e+00,-2.82812000e-03
6.73202340e+00,-2.95313000e-03
6.73402360e+00,-2.91406000e-03
6.73602380e+00,-2.70313000e-03
6.73802400e+00,-2.85937000e-03
6.74002420e+00,-2.67969000e-03
6.74202440e+00,-2.47656000e-03
6.74402460e+00,-2.68750000e-03
6.74602480e+00,-2.65625000e-03
6.74802500e+00,-2.62500000e-03
6.75002520e+00,-2.56250000e-03
6.75202540e+00,-2.53906000e-03
6.75402560e+00,-2.64844000e-03
6.75602580e+00,-2.67188000e-03
6.75802600e+00,-2.50000000e-03
6.76002620e+00,-2.60938000e-03
6.76202640e+00,-2.73438000e-03
6.76402660e+00,-2.56250000e-03
6.76602680e+00,-2.74219000e-03
6.76802700e+00,-2.62500000e-03
6.77002720e+00,-2.77344000e-03
6.77202740e+00,-2.65625000e-03
6.77402760e+00,-2.86719000e-03
6.77602780e+00,-2.88281000e-03
6.77802800e+00,-2.96094000e-03
6.78002820e+00,-2.85156000e-03
6.78202840e+00,-3.01563000e-03
6.78402860e+00,-3.07813000e-03
6.78602880e+00,-3.13281000e-03
6.78802900e+00,-3.08594000e-03
6.79002920e+00,-3.02344000e-03
6.79202940e+00,-3.25000000e-03
6.79402960e+00,-3.32812000e-03
6.79602980e+00,-3.18750000e-03
6.79803000e+00,-3.43750000e-03
6.80003020e+00,-3.42188000e-03
6.80203040e+00,-3.41406000e-03
6.80403060e+00,-3.35937000e-03
6.80603080e+00,-3.33594000e-03
6.80803100e+00,-3.46875000e-03
6.81003120e+00,-3.42188000e-03
6.81203140e+00,-3.32031000e-03
6.81403160e+00,-3.23438000e-03
6.81603180e+00,-3.25000000e-03
6.81803200e+00,-3.39844000e-03
6.82003220e+00,-3.17188000e-03
6.82203240e+00,-3.19531000e-03
6.82403260e+00,-3.14063000e-03
6.82603280e+00,-3.10938000e-03
6.82803300e+00,-3.21875000e-03
6.83003320e+00,-3.19531000e-03
6.83203340e+00,-3.08594000e-03
6.83403360e+00,-3.00000000e-03
6.83603380e+00,-2.96094000e-03
6.83803400e+00,-2.97656000e-03
6.84003420e+00,-2.97656000e-03
6.84203440e+00,-2.91406000e-03
6.84403460e+00,-2.75000000e-03
6.84603480e+00,-2.77344000e-03
6.84803500e+00,-2.67188000e-03
6.85003520e+00,-2.88281000e-03
6.85203540e+00,-2.80469000e-03
6.85403560e+00,-2.72656000e-03
6.85603580e+00,-2.64063000e-03
6.85803600e+00,-2.39062000e-03
6.86003620e+00,-2.79687000e-03
6.86203640e+00,-2.66406000e-03
6.86403660e+00,-2.53125000e-03
6.86603680e+00,-2.75000000e-03
6.86803700e+00,-2.65625000e-03
6.87003720e+00,-2.37500000e-03
6.87203740e+00,-2.71875000e-03
