Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,1.928e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.5200e-07,-0.0271875,3.41906
3.5600e-07,-0.0263281,3.41922
3.6000e-07,-0.0275,3.42203
3.6400e-07,-0.0266406,3.41719
3.6800e-07,-0.0250781,3.42031
3.7200e-07,-0.0255469,3.41859
3.7600e-07,-0.0277344,3.41891
3.8000e-07,-0.025,3.41703
3.8400e-07,-0.0242969,3.41719
3.8800e-07,-0.0280469,3.41891
3.9200e-07,-0.0273438,3.41797
3.9600e-07,-0.0260937,3.41922
4.0000e-07,-0.0270312,3.41922
4.0400e-07,-0.0264844,3.41891
4.0800e-07,-0.0235938,3.42078
4.1200e-07,-0.0269531,3.41953
4.1600e-07,-0.0260937,3.41906
4.2000e-07,-0.0265625,3.41906
4.2400e-07,-0.0250781,3.41938
4.2800e-07,-0.0252344,3.42047
4.3200e-07,-0.0253125,3.41812
4.3600e-07,-0.0253125,3.42234
4.4000e-07,-0.0259375,3.42047
4.4400e-07,-0.0249219,3.42188
4.4800e-07,-0.0257031,3.41812
4.5200e-07,-0.0246875,3.42281
4.5600e-07,-0.0230469,3.41703
4.6000e-07,-0.0252344,3.41984
4.6400e-07,-0.0267187,3.42188
4.6800e-07,-0.0245313,3.415
4.7200e-07,-0.0260156,3.42063
4.7600e-07,-0.0253906,3.4225
4.8000e-07,-0.0246094,3.41922
4.8400e-07,-0.0250781,3.42344
4.8800e-07,-0.02375,3.41844
4.9200e-07,-0.0259375,3.42125
4.9600e-07,-0.024375,3.41969
5.0000e-07,-0.0253125,3.42281
5.0400e-07,-0.02625,3.42125
5.0800e-07,-0.0254688,3.41938
5.1200e-07,-0.0252344,3.4225
5.1600e-07,-0.0270312,3.42094
